PAPER,Data Base,YEAR,TECHNIQUE,N,Features,ALGORITHM,PERFORMANCE
"Brain Age Prediction with 3D ResNet34 Model in Healthy Control, Mild Cognitive Impairment, and Alzheimer's Disease",CamCAN (Healthy) and ADNI (Mild Cognitive Impairment and Alzheimer),2022,T1-MRI,764,Reshape to 256x256x256 3D T1w MR images,3d resnet34,MAE = 18
Ayu-Characterization of healthy aging from neuroimaging data with deep learning and rsfMRI,CamCAN,2022,fMRI,"172(20-40 yo), 152(41-51 yo), 154 (56-69 yo), 160(70-88 yo) = 638","Parcellation: Shaefer 100, Amplitude Correlation (Pearson’s) for functional connectivity.","AlexNet, VGGNet5, and ResNet5","Classification: Acc = .726 Regression: MAE = 6.7, R=.86, R²=.754"
Mind the gap: Performance metric evaluation in brain-age prediction,CamCAN / UK Biobank,2022,T1-MRI,41907,"Parcellation: 68 Desikan Killiany. Morphometric features: Volume, surface area, mean and std. Cortical thickness, mean curvature, gaussian curvature, folding index, intrinsic curvature. ",XGBoost regression algorithm,"R = .889, R²=.790, MAE= 6.79"
Regional Neuroanatomic Effects on Brain Age Inferred,"ADNI, HCP, UK Biobank, CamCAN",2022,T1-MRI,4069,"Parcellation: 148, Morphometric features: Volume, surface area, mean thickness, mean curvature",Ridge Regression,"Non Corrected: R=.9, R²=.82, MAE = 6.66 Corrected= R=1, R² = 1, MAE= 0.08"
Brain-age prediction: A systematic comparison of machine learning workﬂows,"CamCAN, IXI, eNKI, 1000Brains",2023,T1-MRI,2953,"In the ﬁrst strategy, voxel-wise GMV (Grey matter volume) after smoothing and
Resampling + PCA. In the second strategy, an atlas to summarize data from distinct brain regions","Ridge Regression, lasso, elastic net, kernel ridge regression, random forest, Gaussian Process Regression (GPR), Relevance Vector Regression (RVR)","R=.94, R²=.89,  MAE = 4.94."
Brain age prediction using combined deep convolutional neural network and multi‑layer perceptron algorithms,"1000FCP, INDI, IXI, OASIS-3, OpenNeuro, CamCAN",2023,T1-MRI,3004,For 3D CNN: Reshape to 105x127x105 3D T1w MR images   For MLP: “Categorical Sex information”,"3D CNN, MLP","R=.96, R² = .93, MAE= 3.49"
The Choice of Machine Learning Algorithms Impacts the Association between Brain‑Predicted Age Difference and Cognitive Function,CamCAN,2023,T1-MRI,601,"Parcellation: 68 Desikan-Killiany. Morphometric features: Volume, mean cortical thickness, surface area and 16 measures of subcortical structures.","Linear Regression, Ridge, Lasso, Elastic Net, SVR, Relevance Vector Regression (RVR), Gaussian Process Regression (GPR)","R=.91, R² = .82, MAE= 5.93"
Brain Structure Ages - A new biomarker for multi-disease classification,"ABIDE, ADNI, AIBL, ICBM, XIX, NDAR, OASIS C-MIND, UK Biobank, SRPBS COBRE, CAMCan, PPMI, NIFD, OFSEP, NACC, DLBS, MIRIAD, BrainGluSchi ",2023,T1-MRI,32718,"Parcellation: 133. Preporcessing and reshape to 91 × 109 × 91,  extract 𝑘3 (i.e., 𝑘 = 5) overlapping sub-volumes of the same size 32 × 48 × 32 voxels and evenly distributed along the 3 image’s dimensions from the downscale image. U-Nets to predict age at voxel level with these 𝑚 sub-volumes. The 𝑚 outputs were then used to reconstruct a 3D age map of size 91 × 109 × 91 voxels. Age correction technique for each voxel. Average over parcells","U-net, MLP, SVM. ","For young:  R=.95, R²=.91,MAE = 1.91, For Old:  R=.78, R²=.61, MAE = 3.87. They use 100% of the data. This are the training results. "
A Siamese Network With Node Convolution for Individualized Predictions Based on Connectivity Maps Extracted From Resting-State fMRI Data,CamCAN,2023,fMRI,568,"Parcellation: 200, Amplitude Correlation (Pearson’s) for functional connectivity  ",Siamese network with node convolution (SNNC),"R = .9, R²=.81, MAE = 6.2"
From Signal to Age – Using machine learning to predict brain age from MEG data,"SBDL (Salzburg Dynamic Brain Lab), CamCAN",2023,MEG,1625,Sensor Level. Statistical features from the time series,Random Forest ,"R = .62, R²=.38"
A Multitask Deep Learning Model for Voxel-Level Brain Age Estimation,"CamCAN, Calgary-Campinas Study Dataset",2023,T1-MRI,651,T1 Preporcessing and reshape to 128x128x128,U-Net ,MAE =  5.30 ± 3.29
Brain Age Revisited: Investigating the State vs. Trait Hypotheses of EEG-derived Brain-Age Dynamics with Deep Learning,"RNP, RP, TNPP, and TPNP",2023,EEG,6035,Windowing of times series form 21 channels. 15 min recordings,temporal convolutional network (TCN),MAE = 6.6
Prediction of individual brain age using movie and resting-state fMRI,CamCAN,2023,FMRI + fMRI movie,656 + 256,Parcellation: 264. Amplitude Correlation (Pearson’s) for functional connectivity,Elastic Net Regression,"R = .86, MAE=7.3"
